10001,1,Avalon,Avalon
10002,2,Bonavista–Gander–Grand Falls–Windsor,Bonavista–Gander–Grand Falls–Windsor
10003,3,Humber–St. Barbe–Baie Verte,Humber–St. Barbe–Baie Verte
10004,4,Labrador,Labrador
10005,5,Random–Burin–St. George's,Random–Burin–St. George's
10006,6,St. John's East,St. John's-Est
10007,7,St. John's South –Mount Pearl,St. John's-Sud–Mount Pearl
11001,8,Cardigan,Cardigan
11002,9,Charlottetown,Charlottetown
11003,10,Egmont,Egmont
11004,11,Malpeque,Malpeque
12001,12,Cape Breton–Canso,Cape Breton–Canso
12002,13,Central Nova,Nova-Centre
12003,15,Dartmouth–Cole Harbour,Dartmouth–Cole Harbour
12004,16,Halifax,Halifax
12005,17,Halifax West,Halifax-Ouest
12006,18,Kings–Hants,Kings–Hants
12007,14,Cumberland–Colchester–Musquodoboit Valley,Cumberland–Colchester–Musquodoboit Valley
12008,19,Sackville–Eastern Shore,Sackville–Eastern Shore
12009,20,South Shore–St. Margaret's,South Shore–St. Margaret's
12010,21,Sydney–Victoria,Sydney–Victoria
12011,22,West Nova,Nova-Ouest
13001,23,Acadie–Bathurst,Acadie–Bathurst
13002,24,Beauséjour,Beauséjour
13003,25,Fredericton,Fredericton
13004,26,Fundy Royal,Fundy Royal
13005,27,Madawaska–Restigouche,Madawaska–Restigouche
13006,28,Miramichi,Miramichi
13007,29,Moncton–Riverview–Dieppe,Moncton–Riverview–Dieppe
13008,30,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest
13009,31,Saint John,Saint John
13010,32,Tobique–Mactaquac,Tobique–Mactaquac
24001,34,Abitibi–Témiscamingue,Abitibi–Témiscamingue
24002,35,Ahuntsic,Ahuntsic
24003,36,Alfred-Pellan,Alfred-Pellan
24004,37,Argenteuil–Papineau–Mirabel,Argenteuil–Papineau–Mirabel
24005,39,Beauce,Beauce
24006,40,Beauharnois–Salaberry,Beauharnois–Salaberry
24007,41,Beauport–Limoilou,Beauport–Limoilou
24008,42,Berthier–Maskinongé,Berthier–Maskinongé
24009,43,Bourassa,Bourassa
24010,44,Brome–Missisquoi,Brome–Missisquoi
24011,45,Brossard–La Prairie,Brossard–La Prairie
24012,46,Chambly–Borduas,Chambly–Borduas
24013,47,Charlesbourg–Haute-Saint-Charles,Charlesbourg–Haute-Saint-Charles
24014,78,Montmorency–Charlevoix–Haute-Côte-Nord,Montmorency–Charlevoix–Haute-Côte-Nord
24015,48,Châteauguay–Saint-Constant,Châteauguay–Saint-Constant
24016,49,Chicoutimi–Le Fjord,Chicoutimi–Le Fjord
24017,50,Compton–Stanstead,Compton–Stanstead
24018,51,Drummond,Drummond
24019,53,Gaspésie–Îles-de-la-Madeleine,Gaspésie–Îles-de-la-Madeleine
24020,53,Gatineau,Gatineau
24021,55,Hochelaga,Hochelaga
24022,56,Honoré-Mercier,Honoré-Mercier
24023,57,Hull–Aylmer,Hull–Aylmer
24024,58,Jeanne-Le Ber,Jeanne-Le Ber
24025,59,Joliette,Joliette
24026,60,Jonquière–Alma,Jonquière–Alma
24027,61,Lac-Saint-Louis,Lac-Saint-Louis
24028,62,La Pointe-de-l'Île,La Pointe-de-l'Île
24029,63,LaSalle–Émard,LaSalle–Émard
24030,64,Laurentides–Labelle,Laurentides–Labelle
24031,65,Laurier–Sainte-Marie,Laurier–Sainte-Marie
24032,66,Laval,Laval
24033,67,Laval–Les Îles,Laval–Les Îles
24034,68,Lévis–Bellechasse,Lévis–Bellechasse
24035,69,Longueuil–Pierre-Boucher,Longueuil–Pierre-Boucher
24036,70,Lotbinière–Chutes-de-la-Chaudière,Lotbinière–Chutes-de-la-Chaudière
24037,71,Louis-Hébert,Louis-Hébert
24038,72,Louis-Saint-Laurent,Louis-Saint-Laurent
24039,73,Manicouagan,Manicouagan
24040,74,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin
24041,54,Haute-Gaspésie–La Mitis–Matane–Matapédia,Haute-Gaspésie–La Mitis–Matane–Matapédia
24042,75,Mégantic–L'Érable,Mégantic–L'Érable
24043,76,Montcalm,Montcalm
24044,79,Mount Royal,Mont-Royal
24045,80,Notre-Dame-de-Grâce–Lachine,Notre-Dame-de-Grâce–Lachine
24046,33,Abitibi–Baie-James–Nunavik–Eeyou,Abitibi–Baie-James–Nunavik–Eeyou
24047,81,Outremont,Outremont
24048,82,Papineau,Papineau
24049,83,Pierrefonds–Dollard,Pierrefonds–Dollard
24050,84,Pontiac,Pontiac
24051,85,Portneuf–Jacques-Cartier,Portneuf–Jacques-Cartier
24052,86,Québec,Québec
24053,87,Repentigny,Repentigny
24054,38,Bas-Richelieu–Nicolet–Bécancour,Bas-Richelieu–Nicolet–Bécancour
24055,88,Richmond–Arthabaska,Richmond–Arthabaska
24056,89,Rimouski-Neigette–Témiscouata–Les Basques,Rimouski-Neigette–Témiscouata–Les Basques
24057,90,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles
24058,77,Montmagny–L'Islet–Kamouraska–Rivière-du-Loup,Montmagny–L'Islet–Kamouraska–Rivière-du-Loup
24059,91,Rivière-du-Nord,Rivière-du-Nord
24060,92,Roberval–Lac-Saint-Jean,Roberval–Lac-Saint-Jean
24061,93,Rosemont–La Petite-Patrie,Rosemont–La Petite-Patrie
24062,94,Saint-Bruno–Saint-Hubert,Saint-Bruno–Saint-Hubert
24063,95,Saint-Hyacinthe–Bagot,Saint-Hyacinthe–Bagot
24064,96,Saint-Jean,Saint-Jean
24065,97,Saint-Lambert,Saint-Lambert
24066,98,Saint-Laurent–Cartierville,Saint-Laurent–Cartierville
24067,99,Saint-Léonard–Saint-Michel,Saint-Léonard–Saint-Michel
24068,100,Saint-Maurice–Champlain,Saint-Maurice–Champlain
24069,101,Shefford,Shefford
24070,102,Sherbrooke,Sherbrooke
24071,103,Terrebonne–Blainville,Terrebonne–Blainville
24072,104,Trois-Rivières,Trois-Rivières
24073,105,Vaudreuil–Soulanges,Vaudreuil–Soulanges
24074,106,Verchères–Les Patriotes,Verchères–Les Patriotes
24075,107,Westmount–Ville-Marie,Westmount–Ville-Marie
35001,108,Ajax–Pickering,Ajax–Pickering
35002,109,Algoma–Manitoulin–Kapuskasing,Algoma–Manitoulin–Kapuskasing
35003,110,Ancaster–Dundas–Flamborough–Westdale,Ancaster–Dundas–Flamborough–Westdale
35004,111,Barrie,Barrie
35005,112,Beaches–East York,Beaches–East York
35006,113,Bramalea–Gore–Malton,Bramalea–Gore–Malton
35007,114,Brampton–Springdale,Brampton–Springdale
35008,115,Brampton West,Brampton-Ouest
35009,116,Brant,Brant
35010,118,Burlington,Burlington
35011,119,Cambridge,Cambridge
35012,120,Carleton–Mississippi Mills,Carleton–Mississippi Mills
35013,121,Chatham-Kent–Essex,Chatham-Kent–Essex
35014,126,Durham,Durham
35015,122,Davenport,Davenport
35016,123,Don Valley East,Don Valley-Est
35017,124,Don Valley West,Don Valley-Ouest
35018,125,Dufferin–Caledon,Dufferin–Caledon
35019,127,Eglinton–Lawrence,Eglinton–Lawrence
35020,128,Elgin–Middlesex–London,Elgin–Middlesex–London
35021,129,Essex,Essex
35022,130,Etobicoke Centre,Etobicoke-Centre
35023,131,Etobicoke–Lakeshore,Etobicoke–Lakeshore
35024,132,Etobicoke North,Etobicoke-Nord
35025,133,Glengarry–Prescott–Russell,Glengarry–Prescott–Russell
35026,117,Bruce–Grey–Owen Sound,Bruce–Grey–Owen Sound
35027,134,Guelph,Guelph
35028,135,Haldimand–Norfolk,Haldimand–Norfolk
35029,136,Haliburton–Kawartha Lakes–Brock,Haliburton–Kawartha Lakes–Brock
35030,137,Halton,Halton
35031,138,Hamilton Centre,Hamilton-Centre
35032,139,Hamilton East–Stoney Creek,Hamilton-Est–Stoney Creek
35033,140,Hamilton Mountain,Hamilton Mountain
35034,141,Huron–Bruce,Huron–Bruce
35035,142,Kenora,Kenora
35036,143,Kingston and the Islands,Kingston et les Îles
35037,144,Kitchener Centre,Kitchener-Centre
35038,145,Kitchener–Conestoga,Kitchener–Conestoga
35039,146,Kitchener–Waterloo,Kitchener–Waterloo
35040,148,Lanark–Frontenac–Lennox and Addington,Lanark–Frontenac–Lennox and Addington
35041,149,Leeds–Grenville,Leeds–Grenville
35042,150,London–Fanshawe,London–Fanshawe
35043,151,London North Centre,London-Centre-Nord
35044,152,London West,London-Ouest
35045,153,Markham–Unionville,Markham–Unionville
35046,147,Lambton–Kent–Middlesex,Lambton–Kent–Middlesex
35047,154,Mississauga–Brampton South,Mississauga–Brampton-Sud
35048,155,Mississauga East–Cooksville,Mississauga-Est–Cooksville
35049,156,Mississauga–Erindale,Mississauga–Erindale
35050,157,Mississauga South,Mississauga-Sud
35051,158,Mississauga–Streetsville,Mississauga–Streetsville
35052,159,Nepean–Carleton,Nepean–Carleton
35053,160,Newmarket–Aurora,Newmarket–Aurora
35054,161,Niagara Falls,Niagara Falls
35055,162,Niagara West–Glanbrook,Niagara-Ouest–Glanbrook
35056,163,Nickel Belt,Nickel Belt
35057,164,Nipissing–Timiskaming,Nipissing–Timiskaming
35058,165,Northumberland–Quinte West,Northumberland–Quinte West
35059,166,Oak Ridges–Markham,Oak Ridges–Markham
